{'n': 48, 'counts': {'0': 720, '1/6': 721, '1/3': 721, '1/2': 720, '2/3': 721, '5/6': 721}, 'baseline': 720}
{'n': 49, 'counts': {'0': 752, '1/6': 752, '1/3': 752, '1/2': 752, '2/3': 752, '5/6': 752}, 'baseline': 752}
{'n': 50, 'counts': {'0': 784, '1/6': 784, '1/3': 784, '1/2': 784, '2/3': 784, '5/6': 784}, 'baseline': 784}
{'n': 51, 'counts': {'0': 816, '1/6': 817, '1/3': 817, '1/2': 816, '2/3': 817, '5/6': 817}, 'baseline': 816}
{'n': 52, 'counts': {'0': 850, '1/6': 850, '1/3': 850, '1/2': 850, '2/3': 850, '5/6': 850}, 'baseline': 850}
{'n': 53, 'counts': {'0': 884, '1/6': 884, '1/3': 884, '1/2': 884, '2/3': 884, '5/6': 884}, 'baseline': 884}
{'n': 54, 'counts': {'0': 918, '1/6': 919, '1/3': 919, '1/2': 918, '2/3': 919, '5/6': 919}, 'baseline': 918}
{'n': 55, 'counts': {'0': 954, '1/6': 954, '1/3': 954, '1/2': 954, '2/3': 954, '5/6': 954}, 'baseline': 954}
{'n': 56, 'counts': {'0': 990, '1/6': 990, '1/3': 990, '1/2': 990, '2/3': 990, '5/6': 990}, 'baseline': 990}
{'n': 57, 'counts': {'0': 1026, '1/6': 1027, '1/3': 1027, '1/2': 1026, '2/3': 1027, '5/6': 1027}, 'baseline': 1026}
{'n': 58, 'counts': {'0': 1064, '1/6': 1064, '1/3': 1064, '1/2': 1064, '2/3': 1064, '5/6': 1064}, 'baseline': 1064}
{'n': 59, 'counts': {'0': 1102, '1/6': 1102, '1/3': 1102, '1/2': 1102, '2/3': 1102, '5/6': 1102}, 'baseline': 1102}
{'n': 60, 'counts': {'0': 1140, '1/6': 1141, '1/3': 1141, '1/2': 1140, '2/3': 1141, '5/6': 1141}, 'baseline': 1140}
